popularity,original_title,runtime,genres,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
32.985763,Jurassic World,124,Action,2015-06-09,5562,6.5,2015,137999939.3,1392445893.0
28.419936,Mad Max: Fury Road,120,Action,2015-05-13,6185,7.1,2015,137999939.3,348161292.5
13.112507,Insurgent,119,Adventure,2015-03-18,2480,6.3,2015,101199955.5,271619025.4
11.173104,Star Wars: The Force Awakens,136,Action,2015-12-15,5292,7.5,2015,183999919.0,1902723130.0
9.335014,Furious 7,137,Action,2015-04-01,2947,7.3,2015,174799923.1,1385748801.0
9.1107,The Revenant,156,Western,2015-12-25,3929,7.2,2015,124199945.4,490314247.0
8.654359,Terminator Genisys,125,Science Fiction,2015-06-23,2598,5.8,2015,142599937.3,405355075.7
7.6674,The Martian,141,Drama,2015-09-30,4572,7.6,2015,99359956.28,547749654.3
7.404165,Minions,91,Family,2015-06-17,2893,6.5,2015,68079970.04,1064192017.0
6.326804,Inside Out,94,Comedy,2015-06-09,3935,8.0,2015,160999929.2,785411574.7
6.200282,Spectre,148,Action,2015-10-26,3254,6.2,2015,225399900.8,810220283.8
6.189369,Jupiter Ascending,124,Science Fiction,2015-02-04,1937,5.2,2015,161919931.5,169268630.7
6.118847,Ex Machina,108,Drama,2015-01-21,2854,7.6,2015,13799993.93,33919845.96
5.984995,Pixels,105,Action,2015-07-16,1575,5.8,2015,80959964.38,224146025.1
5.944927,Avengers: Age of Ultron,141,Action,2015-04-22,4304,7.4,2015,257599886.7,1292632337.0
5.8984,The Hateful Eight,167,Crime,2015-12-25,2389,7.4,2015,40479982.19,143299244.6
5.749758,Taken 3,109,Crime,2015-01-01,1578,6.1,2015,44159980.57,299709578.2
5.573184,Ant-Man,115,Science Fiction,2015-07-14,3779,7.0,2015,119599947.4,477113780.0
5.556818,Cinderella,112,Romance,2015-03-12,1495,6.8,2015,87399961.54,498963025.2
5.476958,The Hunger Games: Mockingjay - Part 2,136,War,2015-11-18,2380,6.5,2015,147199935.2,598481289.5
5.462138,Tomorrowland,130,Action,2015-05-19,1899,6.2,2015,174799923.1,192312729.9
5.337064,Southpaw,123,Action,2015-06-15,1386,7.3,2015,27599987.86,84373003.72
4.907832,San Andreas,114,Action,2015-05-27,2060,6.1,2015,101199955.5,432851375.0
4.710402,Fifty Shades of Grey,125,Drama,2015-02-11,1865,5.3,2015,36799983.81,524079119.0
4.648046,The Big Short,130,Comedy,2015-12-11,1545,7.3,2015,25759988.67,122678731.5
4.566713,Mission: Impossible - Rogue Nation,131,Action,2015-07-23,2349,7.1,2015,137999939.3,627743451.7
4.564549,Ted 2,115,Comedy,2015-06-25,1666,6.3,2015,62559972.47,198594430.1
4.503789,Kingsman: The Secret Service,130,Crime,2015-01-24,3833,7.6,2015,74519967.21,371497801.7
4.062293,Spotlight,128,Drama,2015-11-06,1559,7.8,2015,18399991.9,81278719.4
3.968891,Maze Runner: The Scorch Trials,132,Action,2015-09-09,1849,6.4,2015,56119975.31,286356245.9
3.927333,Mr. Holmes,103,Mystery,2015-06-19,425,6.4,2015,0.0,27006774.88
3.899557,Chappie,120,Crime,2015-03-04,1990,6.6,2015,45079980.16,93903685.24
3.877764,Pitch Perfect 2,115,Comedy,2015-05-07,1264,6.8,2015,26679988.26,264505582.1
3.64821,Bridge of Spies,141,Thriller,2015-10-15,1638,7.1,2015,36799983.81,149601569.3
3.644541,Goosebumps,103,Adventure,2015-08-05,600,6.2,2015,53359976.52,138157089.0
3.557846,Room,117,Drama,2015-10-16,1520,8.0,2015,5519997.571,32569603.03
3.358321,Solace,101,Crime,2015-09-03,474,6.2,2015,0.0,20566197.19
3.339135,The Good Dinosaur,93,Adventure,2015-11-14,1087,6.6,2015,160999929.2,305371920.9
3.23737,Run All Night,114,Action,2015-03-11,814,6.3,2015,45999979.76,65836683.51
3.227329,Brooklyn,111,Drama,2015-11-04,754,7.3,2015,10119995.55,57110024.59
3.202719,Straight Outta Compton,147,Drama,2015-08-13,918,7.7,2015,25759988.67,185504110.1
3.080505,The Last Witch Hunter,106,Fantasy,2015-10-21,879,5.6,2015,82799963.57,129164861.2
3.079522,Steve Jobs,122,History,2015-10-09,1035,6.9,2015,27599987.86,31686509.22
3.053421,The Man from U.N.C.L.E.,116,Comedy,2015-08-13,1548,7.0,2015,68999969.64,99493456.5
3.025852,The Age of Adaline,112,Fantasy,2015-04-16,1221,7.3,2015,22999989.88,39219376.66
3.023253,Hardcore Henry,97,Action,2015-09-12,396,5.9,2015,9199995.952,13187081.0
